gene,annotation,symbol
AT1G04920,sucrose phosphate synthase 3F(SPS3F),SPS3F
AT1G04930,hydroxyproline-rich glycoprotein family protein(AT1G04930),AT1G04930
AT1G04940,translocon at the inner envelope membrane of chloroplasts 20(Tic20-I),Tic20-I
AT1G04945,HIT-type Zinc finger family protein(AT1G04945),AT1G04945
AT1G04950,TATA BOX ASSOCIATED FACTOR II 59(TAFII59),TAFII59
AT1G04960,golgin family A protein (DUF1664)(AT1G04960),AT1G04960
AT1G04970,lipid-binding serum glycoprotein family protein(AT1G04970),AT1G04970
AT1G04980,PDI-like 2-2(PDIL2-2),PDIL2-2
AT1G04985,triacylglycerol lipase-like protein(AT1G04985),AT1G04985
AT1G04990,Zinc finger C-x8-C-x5-C-x3-H type family protein(AT1G04990),AT1G04990
AT1G05000,Phosphotyrosine protein phosphatases superfamily protein(PFA-DSP1),PFA-DSP1
AT1G05010,ethylene-forming enzyme(EFE),EFE
AT1G05020,ENTH/ANTH/VHS superfamily protein(AT1G05020),AT1G05020
AT1G05030,Major facilitator superfamily protein(AT1G05030),AT1G05030
AT1G05040,UBA-like domain protein(AT1G05040),AT1G05040
AT1G05055,general transcription factor II H2(GTF2H2),GTF2H2
AT1G05060,coiled-coil protein(AT1G05060),AT1G05060
AT1G05061,miscRNA(AT1G05061),AT1G05061
AT1G05065,CLAVATA3/ESR-RELATED 20(CLE20),CLE20
AT1G05070,"transmembrane protein, putative (DUF1068)(AT1G05070)",AT1G05070
AT1G05090,dentin sialophosphoprotein-like protein(AT1G05090),AT1G05090
AT1G05100,mitogen-activated protein kinase kinase kinase 18(MAPKKK18),MAPKKK18
AT1G05120,Helicase protein with RING/U-box domain-containing protein(AT1G05120),AT1G05120
AT1G05135,miscRNA(AT1G05135),AT1G05135
AT1G05140,Peptidase M50 family protein(AT1G05140),AT1G05140
AT1G05150,Calcium-binding tetratricopeptide family protein(AT1G05150),AT1G05150
AT1G05160,"cytochrome P450, family 88, subfamily A, polypeptide 3(CYP88A3)",CYP88A3
AT1G05170,Galactosyltransferase family protein(AT1G05170),AT1G05170
AT1G05180,NAD(P)-binding Rossmann-fold superfamily protein(AXR1),AXR1
AT1G05190,Ribosomal protein L6 family(emb2394),emb2394
AT1G05200,glutamate receptor 3.4(GLR3.4),GLR3.4
AT1G05205,hexokinase-1 protein(AT1G05205),AT1G05205
AT1G05210,"Transmembrane protein 97, Putative(AT1G05210)",AT1G05210
AT1G05220,"Transmembrane protein 97, Putative(AT1G05220)",AT1G05220
AT1G05230,homeodomain GLABROUS 2(HDG2),HDG2
AT1G05260,Peroxidase superfamily protein(RCI3),RCI3
AT1G05270,TraB family protein(AT1G05270),AT1G05270
AT1G05280,"ERV-F (C)1 provirus ancestral Env polyprotein, putative (DUF604)(AT1G05280)",AT1G05280
AT1G05300,zinc transporter 5 precursor(ZIP5),ZIP5
AT1G05310,Pectin lyase-like superfamily protein(AT1G05310),AT1G05310
AT1G05320,"myosin heavy chain, embryonic smooth protein(AT1G05320)",AT1G05320
AT1G05330,hypothetical protein(AT1G05330),AT1G05330
AT1G05340,cysteine-rich TM module stress tolerance protein(AT1G05340),AT1G05340
AT1G05350,NAD(P)-binding Rossmann-fold superfamily protein(AT1G05350),AT1G05350
AT1G05360,vacuole membrane-like protein(KMS2),KMS2
AT1G05370,Sec14p-like phosphatidylinositol transfer family protein(AT1G05370),AT1G05370
AT1G05380,Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein(AT1G05380),AT1G05380
AT1G05385,photosystem II 11 kDa protein-like protein(LPA19),LPA19
AT1G05400,hypothetical protein(AT1G05400),AT1G05400
AT1G05410,"CDPK adapter, putative (DUF1423)(AT1G05410)",AT1G05410
AT1G05420,ovate family protein 12(OFP12),OFP12
AT1G05430,hypothetical protein(AT1G05430),AT1G05430
AT1G05440,C-8 sterol isomerase(AT1G05440),AT1G05440
AT1G05450,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G05450),AT1G05450
AT1G05460,P-loop containing nucleoside triphosphate hydrolases superfamily protein(SDE3),SDE3
AT1G05470,DNAse I-like superfamily protein(CVP2),CVP2
AT1G05490,chromatin remodeling 31(chr31),chr31
AT1G05500,Calcium-dependent lipid-binding (CaLB domain) family protein(NTMC2T2.1),NTMC2T2.1
AT1G05510,"naphthalene 1,2-dioxygenase subunit alpha (DUF1264)(AT1G05510)",AT1G05510
AT1G05520,Sec23/Sec24 protein transport family protein(AT1G05520),AT1G05520
AT1G05530,UDP-glucosyl transferase 75B2(UGT75B2),UGT75B2
AT1G05540,hypothetical protein (DUF295)(AT1G05540),AT1G05540
AT1G05550,hypothetical protein (DUF295)(AT1G05550),AT1G05550
AT1G05560,UDP-glucosyltransferase 75B1(UGT75B1),UGT75B1
AT1G05570,callose synthase 1(CALS1),CALS1
AT1G05575,transmembrane protein(AT1G05575),AT1G05575
AT1G05577,UPSTREAM OF FLC protein (DUF966)(AT1G05577),AT1G05577
AT1G05590,beta-hexosaminidase 2(HEXO2),HEXO2
AT1G05600,Tetratricopeptide repeat (TPR)-like superfamily protein(EMB3101),EMB3101
AT1G05610,ADP-glucose pyrophosphorylase small subunit 2(APS2),APS2
AT1G05620,uridine-ribohydrolase 2(URH2),URH2
AT1G05630,Endonuclease/exonuclease/phosphatase family protein(5PTASE13),5PTASE13
AT1G05640,Ankyrin repeat family protein(AT1G05640),AT1G05640
AT1G05650,Pectin lyase-like superfamily protein(AT1G05650),AT1G05650
AT1G05660,Pectin lyase-like superfamily protein(AT1G05660),AT1G05660
AT1G05670,Pentatricopeptide repeat (PPR-like) superfamily protein(AT1G05670),AT1G05670
AT1G05675,UDP-Glycosyltransferase superfamily protein(AT1G05675),AT1G05675
AT1G05680,Uridine diphosphate glycosyltransferase 74E2(UGT74E2),UGT74E2
AT1G05690,BTB and TAZ domain protein 3(BT3),BT3
AT1G05700,Leucine-rich repeat transmembrane protein kinase protein(AT1G05700),AT1G05700
AT1G05710,basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT1G05710),AT1G05710
AT1G05720,selenoprotein family protein(AT1G05720),AT1G05720
AT1G05730,FAM136A-like protein (DUF842)(AT1G05730),AT1G05730
AT1G05740,FAM136A-like protein (DUF842)(AT1G05740),AT1G05740
AT1G05750,Tetratricopeptide repeat (TPR)-like superfamily protein(PDE247),PDE247
AT1G05770,Mannose-binding lectin superfamily protein(AT1G05770),AT1G05770
AT1G05780,Vacuolar ATPase assembly integral membrane protein VMA21-like domain-containing protein(AT1G05780),AT1G05780
AT1G05785,Got1/Sft2-like vescicle transport protein family(AT1G05785),AT1G05785
AT1G05790,lipase class 3 family protein(AT1G05790),AT1G05790
AT1G05805,basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT1G05805),AT1G05805
AT1G05810,Rab GTPase-like A5A protein(RABA5E),RABA5E
AT1G05820,SIGNAL PEPTIDE PEPTIDASE-LIKE 5(SPPL5),SPPL5
AT1G05830,trithorax-like protein 2(ATX2),ATX2
AT1G05835,PHD finger protein(AT1G05835),AT1G05835
AT1G05840,Eukaryotic aspartyl protease family protein(AT1G05840),AT1G05840
AT1G05850,Chitinase family protein(POM1),POM1
AT1G05860,INO80 complex subunit D-like protein(AT1G05860),AT1G05860
AT1G05870,hypothetical protein (DUF1685)(AT1G05870),AT1G05870
AT1G05880,RING/U-box superfamily protein(ARI12),ARI12
AT1G05890,RING/U-box superfamily protein(ARI5),ARI5
AT1G05894,hypothetical protein(AT1G05894),AT1G05894
AT1G05900,endonuclease III 2(NTH2),NTH2
AT1G05910,cell division cycle protein 48-related / CDC48-like protein(AT1G05910),AT1G05910
AT1G05940,cationic amino acid transporter 9(CAT9),CAT9
AT1G05950,hypothetical protein(AT1G05950),AT1G05950
AT1G05960,ARM repeat superfamily protein(AT1G05960),AT1G05960
AT1G05970,RNA-binding (RRM/RBD/RNP motifs) family protein(AT1G05970),AT1G05970
AT1G05990,EF hand calcium-binding protein family(AT1G05990),AT1G05990
AT1G06000,UDP-Glycosyltransferase superfamily protein(AT1G06000),AT1G06000
AT1G06010,basic leucine zipper/W2 domain protein(AT1G06010),AT1G06010
AT1G06020,pfkB-like carbohydrate kinase family protein(AT1G06020),AT1G06020
AT1G06030,pfkB-like carbohydrate kinase family protein(AT1G06030),AT1G06030
AT1G06040,B-box zinc finger family protein(STO),STO
AT1G06050,ENHANCED DISEASE RESISTANCE-like protein (DUF1336)(AT1G06050),AT1G06050
AT1G06060,LisH and RanBPM domains containing protein(AT1G06060),AT1G06060
AT1G06070,Basic-leucine zipper (bZIP) transcription factor family protein(AT1G06070),AT1G06070
AT1G06080,delta 9 desaturase 1(ADS1),ADS1
AT1G06090,Fatty acid desaturase family protein(AT1G06090),AT1G06090
AT1G06100,Fatty acid desaturase family protein(AT1G06100),AT1G06100
AT1G06110,SKP1/ASK-interacting protein 16(SKIP16),SKIP16
AT1G06120,Fatty acid desaturase family protein(AT1G06120),AT1G06120
AT1G06130,glyoxalase 2-4(GLX2-4),GLX2-4
AT1G06135,transmembrane protein(AT1G06135),AT1G06135
AT1G06140,Pentatricopeptide repeat (PPR) superfamily protein(MEF3),MEF3
AT1G06148,hypothetical protein(AT1G06148),AT1G06148
AT1G06150,basic helix loop helix (bHLH) DNA-binding superfamily protein(EMB1444),EMB1444
AT1G06160,octadecanoid-responsive AP2/ERF 59(ORA59),ORA59
AT1G06170,basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT1G06170),AT1G06170
AT1G06180,myb domain protein 13(MYB13),MYB13
AT1G06190,Rho termination factor(RHON1),RHON1
AT1G06200,Peptidase S24/S26A/S26B/S26C family protein(AT1G06200),AT1G06200
AT1G06210,ENTH/VHS/GAT family protein(AT1G06210),AT1G06210
AT1G06220,Ribosomal protein S5/Elongation factor G/III/V family protein(MEE5),MEE5
AT1G06230,global transcription factor group E4(GTE4),GTE4
AT1G06240,"diiron containing four-helix bundle family ferritin protein, putative (Protein of unknown function DUF455)(AT1G06240)",AT1G06240
AT1G06250,alpha/beta-Hydrolases superfamily protein(AT1G06250),AT1G06250
AT1G06265,ncRNA(AT1G06265),AT1G06265
AT1G06270,Pentatricopeptide repeat (PPR) superfamily protein(AT1G06270),AT1G06270
AT1G06290,acyl-CoA oxidase 3(ACX3),ACX3
AT1G06310,acyl-CoA oxidase 6(ACX6),ACX6
AT1G06320,hypothetical protein(AT1G06320),AT1G06320
AT1G06330,Heavy metal transport/detoxification superfamily protein(AT1G06330),AT1G06330
AT1G06340,Plant Tudor-like protein(AT1G06340),AT1G06340
AT1G06350,Fatty acid desaturase family protein(ADS4),ADS4
AT1G06360,Fatty acid desaturase family protein(AT1G06360),AT1G06360
AT1G06370,miscRNA(AT1G06370),AT1G06370
AT1G06380,Ribosomal protein L1p/L10e family(AT1G06380),AT1G06380
AT1G06390,GSK3/SHAGGY-like protein kinase 1(GSK1),GSK1
AT1G06400,Ras-related small GTP-binding family protein(ARA-2),ARA-2
AT1G06410,trehalose-phosphatase/synthase 7(TPS7),TPS7
AT1G06420,DNA ligase-like protein(AT1G06420),AT1G06420
AT1G06430,FTSH protease 8(FTSH8),FTSH8
AT1G06440,Ubiquitin carboxyl-terminal hydrolase family protein(AT1G06440),AT1G06440
AT1G06450,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein(AT1G06450)",AT1G06450
AT1G06460,alpha-crystallin domain 32.1(ACD32.1),ACD32.1
AT1G06470,Nucleotide/sugar transporter family protein(AT1G06470),AT1G06470
AT1G06475,transmembrane protein(AT1G06475),AT1G06475
AT1G06490,glucan synthase-like 7(CalS7),CalS7
AT1G06500,hypothetical protein(AT1G06500),AT1G06500
AT1G06510,forkhead-associated domain protein(AT1G06510),AT1G06510
AT1G06515,"transmembrane protein, putative (DUF3317)(AT1G06515)",AT1G06515
AT1G06520,glycerol-3-phosphate acyltransferase 1(GPAT1),GPAT1
AT1G06530,Tropomyosin-like protein(PMD2),PMD2
AT1G06540,hypothetical protein(AT1G06540),AT1G06540
AT1G06550,ATP-dependent caseinolytic (Clp) protease/crotonase family protein(AT1G06550),AT1G06550
AT1G06560,NOL1/NOP2/sun family protein(AT1G06560),AT1G06560
AT1G06570,4-hydroxyphenylpyruvate dioxygenase(PDS1),PDS1
AT1G06580,Pentatricopeptide repeat (PPR) superfamily protein(AT1G06580),AT1G06580
AT1G06590,anaphase-promoting complex subunit(AT1G06590),AT1G06590
AT1G06620,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT1G06620),AT1G06620
AT1G06630,F-box/RNI-like superfamily protein(AT1G06630),AT1G06630
AT1G06640,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT1G06640),AT1G06640
AT1G06645,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT1G06645),AT1G06645
AT1G06650,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT1G06650),AT1G06650
AT1G06660,aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit(JASON),JASON
AT1G06670,nuclear DEIH-boxhelicase(NIH),NIH
AT1G06680,photosystem II subunit P-1(PSBP-1),PSBP-1
AT1G06690,NAD(P)-linked oxidoreductase superfamily protein(AT1G06690),AT1G06690
AT1G06700,Protein kinase superfamily protein(AT1G06700),AT1G06700
AT1G06710,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G06710),AT1G06710
AT1G06720,P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G06720),AT1G06720
AT1G06730,pfkB-like carbohydrate kinase family protein(AT1G06730),AT1G06730
AT1G06740,MuDR family transposase(MUG3),MUG3
AT1G06750,P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G06750),AT1G06750
AT1G06760,winged-helix DNA-binding transcription factor family protein(AT1G06760),AT1G06760
AT1G06770,DREB2A-interacting protein 1(DRIP1),DRIP1
AT1G06780,galacturonosyltransferase 6(GAUT6),GAUT6
AT1G06790,RNA polymerase Rpb7 N-terminal domain-containing protein(AT1G06790),AT1G06790
AT1G06800,alpha/beta-Hydrolases superfamily protein(PLA-I{gamma}1),PLA-I{gamma}1
AT1G06820,carotenoid isomerase(CRTISO),CRTISO
AT1G06830,Glutaredoxin family protein(AT1G06830),AT1G06830
AT1G06840,Leucine-rich repeat protein kinase family protein(AT1G06840),AT1G06840
AT1G06850,basic leucine-zipper 52(bZIP52),bZIP52
AT1G06870,Peptidase S24/S26A/S26B/S26C family protein(Plsp2A),Plsp2A
AT1G06890,nodulin MtN21 /EamA-like transporter family protein(AT1G06890),AT1G06890
AT1G06900,Insulinase (Peptidase family M16) family protein(AT1G06900),AT1G06900
AT1G06910,TRF-like 7(TRFL7),TRFL7
AT1G06923,transcription repressor OFP17-like protein(AT1G06923),AT1G06923
AT1G06930,TPRXL(AT1G06930),AT1G06930
AT1G06950,translocon at the inner envelope membrane of chloroplasts 110(TIC110),TIC110
AT1G06960,RNA-binding (RRM/RBD/RNP motifs) family protein(AT1G06960),AT1G06960
AT1G06970,cation/hydrogen exchanger 14(CHX14),CHX14
AT1G06980,"6,7-dimethyl-8-ribityllumazine synthase(AT1G06980)",AT1G06980
AT1G07000,exocyst subunit exo70 family protein B2(EXO70B2),EXO70B2
AT1G07010,Calcineurin-like metallo-phosphoesterase superfamily protein(SLP1),SLP1
AT1G07020,hypothetical protein(AT1G07020),AT1G07020
AT1G07025,Mitochondrial substrate carrier family protein(AT1G07025),AT1G07025
AT1G07030,Mitochondrial substrate carrier family protein(AT1G07030),AT1G07030
AT1G07040,plant/protein(AT1G07040),AT1G07040
AT1G07050,CCT motif family protein(AT1G07050),AT1G07050
AT1G07060,hypothetical protein(DFO),DFO
AT1G07070,Ribosomal protein L35Ae family protein(AT1G07070),AT1G07070
AT1G07080,Thioredoxin superfamily protein(AT1G07080),AT1G07080
AT1G07090,LIGHT-DEPENDENT SHORT HYPOCOTYLS-like protein (DUF640)(LSH6),LSH6
AT1G07110,"fructose-2,6-bisphosphatase(F2KP)",F2KP
AT1G07119,ncRNA(AT1G07119),AT1G07119
AT1G07120,CHUP1-like protein(AT1G07120),AT1G07120
AT1G07128,ncRNA(AT1G07128),AT1G07128
AT1G07130,"Nucleic acid-binding, OB-fold-like protein(STN1)",STN1
AT1G07135,glycine-rich protein(AT1G07135),AT1G07135
AT1G07140,Pleckstrin homology (PH) domain superfamily protein(SIRANBP),SIRANBP
AT1G07150,mitogen-activated protein kinase kinase kinase 13(MAPKKK13),MAPKKK13
AT1G07160,Protein phosphatase 2C family protein(AT1G07160),AT1G07160
AT1G07170,PHF5-like protein(AT1G07170),AT1G07170
AT1G07175,alternative NAD(P)H dehydrogenase(AT1G07175),AT1G07175
AT1G07180,alternative NAD(P)H dehydrogenase 1(NDA1),NDA1
AT1G07200,Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein(AT1G07200),AT1G07200
AT1G07210,Ribosomal protein S18(AT1G07210),AT1G07210
AT1G07220,O-glucosyltransferase rumi-like protein (DUF821)(AT1G07220),AT1G07220
AT1G07230,non-specific phospholipase C1(NPC1),NPC1
AT1G07240,UDP-glucosyl transferase 71C5(UGT71C5),UGT71C5
AT1G07250,UDP-glucosyl transferase 71C4(UGT71C4),UGT71C4
AT1G07260,UDP-glucosyl transferase 71C3(UGT71C3),UGT71C3
AT1G07270,"Cell division control, Cdc6(AT1G07270)",AT1G07270
AT1G07280,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G07280),AT1G07280
AT1G07290,golgi nucleotide sugar transporter 2(GONST2),GONST2
AT1G07300,josephin protein-like protein(AT1G07300),AT1G07300
AT1G07310,Calcium-dependent lipid-binding (CaLB domain) family protein(AT1G07310),AT1G07310
AT1G07320,ribosomal protein L4(RPL4),RPL4
AT1G07330,dentin sialophosphoprotein(AT1G07330),AT1G07330
AT1G07350,RNA-binding (RRM/RBD/RNP motifs) family protein(SR45a),SR45a
AT1G07360,CCCH-type zinc fingerfamily protein with RNA-binding domain-containing protein(MAC5A),MAC5A
AT1G07370,proliferating cellular nuclear antigen 1(PCNA1),PCNA1
AT1G07380,Neutral/alkaline non-lysosomal ceramidase(AT1G07380),AT1G07380
AT1G07390,receptor like protein 1(RLP1),RLP1
AT1G07400,HSP20-like chaperones superfamily protein(AT1G07400),AT1G07400
AT1G07410,RAB GTPase homolog A2B(RABA2b),RABA2b
AT1G07420,sterol 4-alpha-methyl-oxidase 2-1(SMO2-1),SMO2-1
AT1G07430,highly ABA-induced PP2C protein 2(HAI2),HAI2
AT1G07440,NAD(P)-binding Rossmann-fold superfamily protein(AT1G07440),AT1G07440
AT1G07450,NAD(P)-binding Rossmann-fold superfamily protein(AT1G07450),AT1G07450
AT1G07470,"Transcription factor IIA, alpha/beta subunit(AT1G07470)",AT1G07470
AT1G07473,hypothetical protein(AT1G07473),AT1G07473
AT1G07480,"Transcription factor IIA, alpha/beta subunit(AT1G07480)",AT1G07480
AT1G07485,hypothetical protein(AT1G07485),AT1G07485
AT1G07500,hypothetical protein(AT1G07500),AT1G07500
AT1G07510,FTSH protease 10(ftsh10),ftsh10
AT1G07520,GRAS family transcription factor(AT1G07520),AT1G07520
AT1G07530,SCARECROW-like 14(SCL14),SCL14
AT1G07550,Leucine-rich repeat protein kinase family protein(AT1G07550),AT1G07550
AT1G07560,Leucine-rich repeat protein kinase family protein(AT1G07560),AT1G07560
AT1G07570,Protein kinase superfamily protein(APK1A),APK1A
AT1G07590,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G07590),AT1G07590
AT1G07610,metallothionein 1C(MT1C),MT1C
AT1G07615,GTP-binding protein Obg/CgtA(AT1G07615),AT1G07615
AT1G07620,GTP-binding protein Obg/CgtA(ATOBGM),ATOBGM
AT1G07630,pol-like 5(PLL5),PLL5
AT1G07640,Dof-type zinc finger DNA-binding family protein(OBP2),OBP2
AT1G07645,dessication-induced 1VOC superfamily protein(DSI-1VOC),DSI-1VOC
AT1G07650,Leucine-rich repeat transmembrane protein kinase(AT1G07650),AT1G07650
AT1G07660,Histone superfamily protein(AT1G07660),AT1G07660
AT1G07670,endomembrane-type CA-ATPase 4(ECA4),ECA4
AT1G07700,Thioredoxin superfamily protein(AT1G07700),AT1G07700
AT1G07705,NOT2 / NOT3 / NOT5 family(AT1G07705),AT1G07705
AT1G07710,Ankyrin repeat family protein(AT1G07710),AT1G07710
AT1G07720,3-ketoacyl-CoA synthase 3(KCS3),KCS3
AT1G07728,ncRNA(AT1G07728),AT1G07728
AT1G07740,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G07740),AT1G07740
AT1G07745,DNA repair RAD51-like protein(RAD51D),RAD51D
AT1G07750,RmlC-like cupins superfamily protein(AT1G07750),AT1G07750
AT1G07770,ribosomal protein S15A(RPS15A),RPS15A
AT1G07780,phosphoribosylanthranilate isomerase 1(PAI1),PAI1
AT1G07790,Histone superfamily protein(HTB1),HTB1
AT1G07795,forkhead box protein G1(AT1G07795),AT1G07795
AT1G07810,ER-type Ca2+-ATPase 1(ECA1),ECA1
AT1G07820,Histone superfamily protein(AT1G07820),AT1G07820
AT1G07830,ribosomal protein L29 family protein(AT1G07830),AT1G07830
AT1G07840,Sas10/Utp3/C1D family(AT1G07840),AT1G07840
AT1G07850,transferring glycosyl group transferase (DUF604)(AT1G07850),AT1G07850
AT1G07870,Protein kinase superfamily protein(AT1G07870),AT1G07870
AT1G07880,Protein kinase superfamily protein(ATMPK13),ATMPK13
AT1G07885,hypothetical protein(AT1G07885),AT1G07885
AT1G07890,ascorbate peroxidase 1(APX1),APX1
AT1G07900,LOB domain-containing protein 1(LBD1),LBD1
AT1G07901,hypothetical protein(AT1G07901),AT1G07901
AT1G07910,RNAligase(RNL),RNL
AT1G07920,GTP binding Elongation factor Tu family protein(AT1G07920),AT1G07920
AT1G07930,GTP binding Elongation factor Tu family protein(AT1G07930),AT1G07930
AT1G07940,GTP binding Elongation factor Tu family protein(AT1G07940),AT1G07940
AT1G07950,Surfeit locus protein 5 subunit 22 of Mediator complex(MED22B),MED22B
AT1G07960,PDI-like 5-1(PDIL5-1),PDIL5-1
AT1G07970,"cytochrome B561, amino-terminal protein(AT1G07970)",AT1G07970
AT1G07980,"nuclear factor Y, subunit C10(NF-YC10)",NF-YC10
AT1G07985,Expressed protein(AT1G07985),AT1G07985
AT1G07990,SIT4 phosphatase-associated family protein(AT1G07990),AT1G07990
AT1G08000,GATA transcription factor 10(GATA10),GATA10
AT1G08005,serine/threonine-protein phosphatase 6 regulatory subunit(AT1G08005),AT1G08005
AT1G08010,GATA transcription factor 11(GATA11),GATA11
AT1G08030,tyrosylprotein sulfotransferase(TPST),TPST
