"gene","Dittberner_moleco18_Delta_13C_rs","Dittberner_moleco18_Delta_13C_P_val","annotation","symbol"
"AT1G71050",0.33,0.0016,"Heavy metal transport/detoxification superfamily protein(HIPP20)","HIPP20"
"AT1G78820",0.33,0.0015,"D-mannose binding lectin protein with Apple-like carbohydrate-binding domain-containing protein(AT1G78820)","AT1G78820"
"AT2G04845",0.33,0.002,"Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT2G04845)","AT2G04845"
"AT2G05310",0.33,0.0018,"transmembrane protein(AT2G05310)","AT2G05310"
"AT2G13360",0.33,0.0016,"alanine:glyoxylate aminotransferase(AGT)","AGT"
"AT2G19750",0.33,0.0017,"Ribosomal protein S30 family protein(AT2G19750)","AT2G19750"
"AT2G21560",0.33,0.0019,"nucleolar-like protein(AT2G21560)","AT2G21560"
"AT2G21960",0.33,0.0019,"transmembrane protein(AT2G21960)","AT2G21960"
"AT2G22000",0.33,0.0016,"elicitor peptide 6 precursor(PROPEP6)","PROPEP6"
"AT2G24270",0.33,0.002,"aldehyde dehydrogenase 11A3(ALDH11A3)","ALDH11A3"
"AT2G28105",0.33,0.0019,"replication factor-A carboxy-terminal domain protein(AT2G28105)","AT2G28105"
"AT2G33550",0.33,0.002,"Homeodomain-like superfamily protein(AT2G33550)","AT2G33550"
"AT2G38170",0.33,0.002,"cation exchanger 1(CAX1)","CAX1"
"AT2G38195",0.33,0.0018,"RING/U-box superfamily protein(APD4)","APD4"
"AT2G43445",0.33,0.0018,"F-box and associated interaction domains-containing protein(AT2G43445)","AT2G43445"
"AT2G43945",0.33,0.0015,"hypothetical protein(AT2G43945)","AT2G43945"
"AT2G45960",0.33,0.0014,"plasma membrane intrinsic protein 1B(PIP1B)","PIP1B"
"AT3G09580",0.33,0.0015,"FAD/NAD(P)-binding oxidoreductase family protein(AT3G09580)","AT3G09580"
"AT3G11900",0.33,0.002,"aromatic and neutral transporter 1(ANT1)","ANT1"
"AT3G12965",0.33,0.0019,"ncRNA(AT3G12965)","AT3G12965"
"AT3G19450",0.33,0.0014,"GroES-like zinc-binding alcohol dehydrogenase family protein(ATCAD4)","ATCAD4"
"AT3G23210",0.33,0.0014,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(bHLH34)","bHLH34"
"AT3G23580",0.33,0.0017,"ribonucleotide reductase 2A(RNR2A)","RNR2A"
"AT3G23805",0.33,0.0015,"ralf-like 24(RALFL24)","RALFL24"
"AT3G23810",0.33,0.0015,"S-adenosyl-l-homocysteine (SAH) hydrolase 2(SAHH2)","SAHH2"
"AT3G26030",0.33,0.0017,"serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B prime delta(ATB' DELTA)","ATB' DELTA"
"AT3G43720",0.33,0.0015,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(LTPG2)","LTPG2"
"AT3G51080",0.33,0.0019,"GATA transcription factor 6(GATA6)","GATA6"
"AT3G56370",0.33,0.0016,"Leucine-rich repeat protein kinase family protein(AT3G56370)","AT3G56370"
"AT3G58480",0.33,0.0015,"calmodulin-binding family protein(AT3G58480)","AT3G58480"
"AT4G00360",0.33,0.0018,"cytochrome P450, family 86, subfamily A, polypeptide 2(CYP86A2)","CYP86A2"
"AT4G04890",0.33,0.0014,"protodermal factor 2(PDF2)","PDF2"
"AT4G21730",0.33,0.0017,"miscRNA(AT4G21730)","AT4G21730"
"AT4G21926",0.33,0.0018,"hypothetical protein(AT4G21926)","AT4G21926"
"AT4G23890",0.33,0.0016,"NAD(P)H-quinone oxidoreductase subunit S(NdhS)","NdhS"
"AT4G24090",0.33,0.0016,"homer protein(AT4G24090)","AT4G24090"
"AT4G29750",0.33,0.0014,"CRS1 / YhbY (CRM) domain-containing protein(AT4G29750)","AT4G29750"
"AT4G33220",0.33,0.0017,"pectin methylesterase 44(PME44)","PME44"
"AT4G35780",0.33,0.0015,"ACT-like protein tyrosine kinase family protein(STY17)","STY17"
"AT4G37840",0.33,0.0015,"hexokinase-like 3(HKL3)","HKL3"
"AT4G39640",0.33,0.002,"gamma-glutamyl transpeptidase 1(GGT1)","GGT1"
"AT4G39990",0.33,0.0019,"RAB GTPase homolog A4B(RABA4B)","RABA4B"
"AT5G03110",0.33,0.0018,"protamine P1 family protein(AT5G03110)","AT5G03110"
"AT5G23060",0.33,0.0016,"calcium sensing receptor(CaS)","CaS"
"AT5G24650",0.33,0.0017,"Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein(AT5G24650)","AT5G24650"
"AT5G27300",0.33,0.0015,"pentatricopeptide (PPR) repeat-containing protein(AT5G27300)","AT5G27300"
"AT5G37680",0.33,0.0015,"ADP-ribosylation factor-like A1A(ARLA1A)","ARLA1A"
"AT5G41050",0.33,0.0015,"Pollen Ole e 1 allergen and extensin family protein(AT5G41050)","AT5G41050"
"AT5G49380",0.33,0.002,"obsolete","AT5G49380"
"AT5G52060",0.33,0.0017,"BCL-2-associated athanogene 1(BAG1)","BAG1"
"AT5G53592",0.33,0.002,"FBD-like domain family protein(AT5G53592)","AT5G53592"
"AT5G58260",0.33,0.0019,"oxidoreductases, acting on NADH or NADPH, quinone or similar compound as acceptor(NdhN)","NdhN"
"AT5G58870",0.33,0.0014,"FTSH protease 9(ftsh9)","ftsh9"
"AT5G62670",0.33,0.0018,"H[+]-ATPase 11(HA11)","HA11"
"AT5G64460",0.33,0.0019,"Phosphoglycerate mutase family protein(AT5G64460)","AT5G64460"
"AT5G67030",0.33,0.0019,"zeaxanthin epoxidase (ZEP) (ABA1)(ABA1)","ABA1"
"AT1G04920",0.32,0.0024,"sucrose phosphate synthase 3F(SPS3F)","SPS3F"
"AT1G07180",0.32,0.0023,"alternative NAD(P)H dehydrogenase 1(NDA1)","NDA1"
"AT1G07450",0.32,0.0024,"NAD(P)-binding Rossmann-fold superfamily protein(AT1G07450)","AT1G07450"
"AT1G12460",0.32,0.0023,"Leucine-rich repeat protein kinase family protein(AT1G12460)","AT1G12460"
"AT1G15290",0.32,0.0026,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G15290)","AT1G15290"
"AT1G17220",0.32,0.0021,"Translation initiation factor 2, small GTP-binding protein(FUG1)","FUG1"
"AT1G20130",0.32,0.0024,"GDSL-like Lipase/Acylhydrolase superfamily protein(AT1G20130)","AT1G20130"
"AT1G21065",0.32,0.0024,"secondary thiamine-phosphate synthase enzyme(AT1G21065)","AT1G21065"
"AT1G51440",0.32,0.0023,"alpha/beta-Hydrolases superfamily protein(AT1G51440)","AT1G51440"
"AT1G52230",0.32,0.0022,"photosystem I subunit H2(PSAH2)","PSAH2"
"AT1G52340",0.32,0.0023,"NAD(P)-binding Rossmann-fold superfamily protein(ABA2)","ABA2"
"AT1G55800",0.32,0.0026,"hypothetical protein(AT1G55800)","AT1G55800"
"AT1G60550",0.32,0.0022,"enoyl-CoA hydratase/isomerase D(ECHID)","ECHID"
"AT1G60590",0.32,0.0028,"Pectin lyase-like superfamily protein(AT1G60590)","AT1G60590"
"AT1G64850",0.32,0.0026,"Calcium-binding EF hand family protein(AT1G64850)","AT1G64850"
"AT1G67840",0.32,0.0028,"chloroplast sensor kinase(CSK)","CSK"
"AT1G75100",0.32,0.0023,"J-domain protein required for chloroplast accumulation response 1(JAC1)","JAC1"
"AT1G75250",0.32,0.0022,"RAD-like 6(RL6)","RL6"
"AT1G76570",0.32,0.0024,"Chlorophyll A-B binding family protein(AT1G76570)","AT1G76570"
"AT1G78510",0.32,0.0021,"solanesyl diphosphate synthase 1(SPS1)","SPS1"
"AT2G20724",0.32,0.0026,"miscRNA(AT2G20724)","AT2G20724"
"AT2G26570",0.32,0.002,"WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT-like protein (DUF827)(WEB1)","WEB1"
"AT2G32580",0.32,0.0024,"transmembrane protein, putative (DUF1068)(AT2G32580)","AT2G32580"
"AT2G41290",0.32,0.0023,"strictosidine synthase-like 2(SSL2)","SSL2"
"AT2G45800",0.32,0.002,"GATA type zinc finger transcription factor family protein(PLIM2a)","PLIM2a"
"AT2G46380",0.32,0.0024,"extra-large G-like protein, putative (DUF3133)(AT2G46380)","AT2G46380"
"AT3G13040",0.32,0.0023,"myb-like HTH transcriptional regulator family protein(AT3G13040)","AT3G13040"
"AT3G13360",0.32,0.0023,"WPP domain interacting protein 3(WIP3)","WIP3"
"AT3G13860",0.32,0.0023,"heat shock protein 60-3A(HSP60-3A)","HSP60-3A"
"AT3G16175",0.32,0.0025,"Thioesterase superfamily protein(AT3G16175)","AT3G16175"
"AT3G17330",0.32,0.0021,"evolutionarily conserved C-terminal region 6(ECT6)","ECT6"
"AT3G18282",0.32,0.0022,"hypothetical protein(AT3G18282)","AT3G18282"
"AT3G21055",0.32,0.0026,"photosystem II subunit T(PSBTN)","PSBTN"
"AT3G21530",0.32,0.0026,"DNAse I-like superfamily protein(AT3G21530)","AT3G21530"
"AT3G22210",0.32,0.0024,"transmembrane protein(AT3G22210)","AT3G22210"
"AT3G24420",0.32,0.0026,"alpha/beta-Hydrolases superfamily protein(AT3G24420)","AT3G24420"
"AT3G26744",0.32,0.0024,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(ICE1)","ICE1"
"AT3G47500",0.32,0.0021,"cycling DOF factor 3(CDF3)","CDF3"
"AT3G49480",0.32,0.0026,"F-box/FBD/LRR protein(AT3G49480)","AT3G49480"
"AT3G56010",0.32,0.0026,"transmembrane protein(AT3G56010)","AT3G56010"
"AT3G58000",0.32,0.0028,"VQ motif-containing protein(AT3G58000)","AT3G58000"
"AT3G59970",0.32,0.0023,"methylenetetrahydrofolate reductase 1(MTHFR1)","MTHFR1"
"AT3G61080",0.32,0.0025,"Protein kinase superfamily protein(AT3G61080)","AT3G61080"
"AT3G61090",0.32,0.0022,"Putative endonuclease or glycosyl hydrolase(AT3G61090)","AT3G61090"
"AT3G62070",0.32,0.0026,"hypothetical protein(AT3G62070)","AT3G62070"
"AT4G01883",0.32,0.0027,"Polyketide cyclase / dehydrase and lipid transport protein(AT4G01883)","AT4G01883"
"AT4G14540",0.32,0.0024,"nuclear factor Y, subunit B3(NF-YB3)","NF-YB3"
"AT4G22890",0.32,0.0025,"PGR5-LIKE A(PGR5-LIKE A)","PGR5-LIKE A"
"AT4G24760",0.32,0.0021,"alpha/beta-Hydrolases superfamily protein(AT4G24760)","AT4G24760"
"AT4G25100",0.32,0.0025,"Fe superoxide dismutase 1(FSD1)","FSD1"
"AT4G31310",0.32,0.0027,"AIG2-like (avirulence induced gene) family protein(AT4G31310)","AT4G31310"
"AT4G33000",0.32,0.0025,"calcineurin B-like protein 10(CBL10)","CBL10"
"AT4G35450",0.32,0.0022,"ankyrin repeat-containing protein 2(AKR2)","AKR2"
"AT4G36540",0.32,0.0024,"BR enhanced expression 2(BEE2)","BEE2"
"AT4G37930",0.32,0.0022,"serine transhydroxymethyltransferase 1(SHM1)","SHM1"
"AT4G38840",0.32,0.0025,"SAUR-like auxin-responsive protein family(AT4G38840)","AT4G38840"
"AT4G39330",0.32,0.0024,"cinnamyl alcohol dehydrogenase 9(CAD9)","CAD9"
"AT5G02120",0.32,0.0027,"one helix protein(OHP)","OHP"
"AT5G08650",0.32,0.0023,"Small GTP-binding protein(AT5G08650)","AT5G08650"
"AT5G09230",0.32,0.0022,"sirtuin 2(SRT2)","SRT2"
"AT5G18580",0.32,0.0027,"tonneau 2 (TON2)(FASS)","FASS"
"AT5G20070",0.32,0.0026,"nudix hydrolase homolog 19(NUDX19)","NUDX19"
"AT5G39770",0.32,0.0022,"Restriction endonuclease, type II-like superfamily protein(AT5G39770)","AT5G39770"
"AT5G42070",0.32,0.002,"hypothetical protein(AT5G42070)","AT5G42070"
"AT5G42240",0.32,0.0025,"serine carboxypeptidase-like 42(scpl42)","scpl42"
"AT5G43630",0.32,0.0022,"zinc knuckle (CCHC-type) family protein(TZP)","TZP"
"AT5G52780",0.32,0.0022,"transmembrane protein, putative (DUF3464)(AT5G52780)","AT5G52780"
"AT5G58330",0.32,0.0022,"lactate/malate dehydrogenase family protein(AT5G58330)","AT5G58330"
"AT5G59070",0.32,0.0025,"UDP-Glycosyltransferase superfamily protein(AT5G59070)","AT5G59070"
"AT5G59880",0.32,0.0024,"actin depolymerizing factor 3(ADF3)","ADF3"
"AT5G62130",0.32,0.0027,"Per1-like family protein(AT5G62130)","AT5G62130"
"AT5G65720",0.32,0.0022,"nitrogen fixation S (NIFS)-like 1(NFS1)","NFS1"
"AT1G02820",0.31,0.0029,"Late embryogenesis abundant 3 (LEA3) family protein(LEA3)","LEA3"
"AT1G04550",0.31,0.0035,"AUX/IAA transcriptional regulator family protein(IAA12)","IAA12"
"AT1G10150",0.31,0.0034,"Carbohydrate-binding protein(AT1G10150)","AT1G10150"
"AT1G11860",0.31,0.0033,"Glycine cleavage T-protein family(AT1G11860)","AT1G11860"
"AT1G19940",0.31,0.003,"glycosyl hydrolase 9B5(GH9B5)","GH9B5"
"AT1G20950",0.31,0.0038,"Phosphofructokinase family protein(AT1G20950)","AT1G20950"
"AT1G23560",0.31,0.0029,"OBP32pep, putative (DUF220)(AT1G23560)","AT1G23560"
"AT1G24560",0.31,0.0038,"paramyosin(AT1G24560)","AT1G24560"
"AT1G31340",0.31,0.0038,"related to ubiquitin 1(RUB1)","RUB1"
"AT1G35320",0.31,0.0037,"transmembrane protein(AT1G35320)","AT1G35320"
"AT1G48240",0.31,0.0031,"Putative plant snare 12(NPSN12)","NPSN12"
"AT1G50840",0.31,0.0034,"polymerase gamma 2(POLGAMMA2)","POLGAMMA2"
"AT1G52220",0.31,0.0038,"CURVATURE THYLAKOID protein(AT1G52220)","AT1G52220"
"AT1G52342",0.31,0.0037,"hypothetical protein(AT1G52342)","AT1G52342"
"AT1G56050",0.31,0.0035,"GTP-binding protein-like protein(AT1G56050)","AT1G56050"
"AT1G64400",0.31,0.0029,"AMP-dependent synthetase and ligase family protein(LACS3)","LACS3"
"AT1G64690",0.31,0.0033,"branchless trichome(BLT)","BLT"
"AT1G69160",0.31,0.0029,"suppressor(AT1G69160)","AT1G69160"
"AT1G69170",0.31,0.0033,"Squamosa promoter-binding protein-like (SBP domain) transcription factor family protein(AT1G69170)","AT1G69170"
"AT1G70550",0.31,0.0029,"NEP-interacting protein, putative (DUF239)(AT1G70550)","AT1G70550"
"AT1G72230",0.31,0.0029,"Cupredoxin superfamily protein(AT1G72230)","AT1G72230"
"AT1G73650",0.31,0.0038,"3-oxo-5-alpha-steroid 4-dehydrogenase (DUF1295)(AT1G73650)","AT1G73650"
"AT1G74070",0.31,0.0036,"Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein(AT1G74070)","AT1G74070"
"AT1G74470",0.31,0.0028,"Pyridine nucleotide-disulfide oxidoreductase family protein(AT1G74470)","AT1G74470"
"AT1G74890",0.31,0.0035,"response regulator 15(ARR15)","ARR15"
"AT1G74960",0.31,0.0033,"fatty acid biosynthesis 1(FAB1)","FAB1"
"AT1G79270",0.31,0.0033,"evolutionarily conserved C-terminal region 8(ECT8)","ECT8"
"AT2G05070",0.31,0.0033,"photosystem II light harvesting complex protein 2.2(LHCB2.2)","LHCB2.2"
"AT2G18328",0.31,0.0032,"RAD-like 4(RL4)","RL4"
"AT2G22482",0.31,0.0035,"ncRNA(AT2G22482)","AT2G22482"
"AT2G25080",0.31,0.0035,"glutathione peroxidase 1(GPX1)","GPX1"
"AT2G28880",0.31,0.0038,"para-aminobenzoate (PABA) synthase family protein(emb1997)","emb1997"
"AT2G30105",0.31,0.0029,"LRR/ubiquitin-like domain protein(AT2G30105)","AT2G30105"
"AT2G30520",0.31,0.0037,"Phototropic-responsive NPH3 family protein(RPT2)","RPT2"
"AT2G32690",0.31,0.0031,"glycine-rich protein 23(GRP23)","GRP23"
"AT2G33990",0.31,0.0031,"IQ-domain 9(iqd9)","iqd9"
"AT2G35370",0.31,0.0032,"glycine decarboxylase complex H(GDCH)","GDCH"
"AT2G36990",0.31,0.0031,"RNApolymerase sigma-subunit F(SIGF)","SIGF"
"AT2G38220",0.31,0.0033,"RING/U-box superfamily protein(APD3)","APD3"
"AT2G44210",0.31,0.0034,"carboxyl-terminal peptidase (DUF239)(AT2G44210)","AT2G44210"
"AT2G46735",0.31,0.0033,"death domain associated protein(AT2G46735)","AT2G46735"
"AT3G15090",0.31,0.0031,"GroES-like zinc-binding alcohol dehydrogenase family protein(AT3G15090)","AT3G15090"
"AT3G16130",0.31,0.0028,"RHO guanyl-nucleotide exchange factor 13(ROPGEF13)","ROPGEF13"
"AT3G18890",0.31,0.0032,"NAD(P)-binding Rossmann-fold superfamily protein(Tic62)","Tic62"
"AT3G21190",0.31,0.0032,"O-fucosyltransferase family protein(MSR1)","MSR1"
"AT3G23090",0.31,0.0033,"TPX2 (targeting protein for Xklp2) protein family(AT3G23090)","AT3G23090"
"AT3G26450",0.31,0.0038,"Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT3G26450)","AT3G26450"
"AT3G26570",0.31,0.0029,"phosphate transporter 2;1(PHT2;1)","PHT2;1"
"AT3G26935",0.31,0.0037,"DHHC-type zinc finger family protein(AT3G26935)","AT3G26935"
"AT3G54690",0.31,0.0033,"Sugar isomerase (SIS) family protein(SETH3)","SETH3"
"AT3G56000",0.31,0.0034,"cellulose synthase like A14(CSLA14)","CSLA14"
"AT3G56940",0.31,0.0038,"dicarboxylate diiron protein, putative (Crd1)(CRD1)","CRD1"
"AT4G01570",0.31,0.0033,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT4G01570)","AT4G01570"
"AT4G03280",0.31,0.0038,"photosynthetic electron transfer C(PETC)","PETC"
"AT4G04850",0.31,0.0034,"K+ efflux antiporter 3(KEA3)","KEA3"
"AT4G05470",0.31,0.0034,"RNI-like superfamily protein(AT4G05470)","AT4G05470"
"AT4G12700",0.31,0.0033,"calcium ion-binding protein(AT4G12700)","AT4G12700"
"AT4G22570",0.31,0.0035,"adenine phosphoribosyl transferase 3(APT3)","APT3"
"AT4G24972",0.31,0.0028,"tapetum determinant 1(TPD1)","TPD1"
"AT4G25050",0.31,0.0031,"acyl carrier protein 4(ACP4)","ACP4"
"AT4G28360",0.31,0.0034,"Ribosomal protein L22p/L17e family protein(AT4G28360)","AT4G28360"
"AT4G30990",0.31,0.0029,"ARM repeat superfamily protein(AT4G30990)","AT4G30990"
"AT4G34240",0.31,0.0031,"aldehyde dehydrogenase 3I1(ALDH3I1)","ALDH3I1"
"AT4G34620",0.31,0.0038,"small subunit ribosomal protein 16(SSR16)","SSR16"
"AT4G36360",0.31,0.0039,"beta-galactosidase 3(BGAL3)","BGAL3"
"AT5G13160",0.31,0.0028,"Protein kinase superfamily protein(PBS1)","PBS1"
"AT5G15310",0.31,0.0035,"myb domain protein 16(MYB16)","MYB16"
"AT5G16540",0.31,0.0033,"zinc finger nuclease 3(ZFN3)","ZFN3"
"AT5G20380",0.31,0.0029,"phosphate transporter 4;5(PHT4;5)","PHT4;5"
"AT5G24165",0.31,0.0033,"hypothetical protein(AT5G24165)","AT5G24165"
"AT5G35490",0.31,0.0037,"mto 1 responding up 1(MRU1)","MRU1"
"AT5G40630",0.31,0.0038,"Ubiquitin-like superfamily protein(AT5G40630)","AT5G40630"
"AT5G44980",0.31,0.0032,"F-box/RNI-like/FBD-like domains-containing protein(AT5G44980)","AT5G44980"
"AT5G46220",0.31,0.0034,"transmembrane protein (DUF616)(AT5G46220)","AT5G46220"
"AT5G48220",0.31,0.0035,"Aldolase-type TIM barrel family protein(AT5G48220)","AT5G48220"
"AT5G53170",0.31,0.0035,"FTSH protease 11(FTSH11)","FTSH11"
"AT5G54270",0.31,0.003,"light-harvesting chlorophyll B-binding protein 3(LHCB3)","LHCB3"
"AT5G55740",0.31,0.0033,"Tetratricopeptide repeat (TPR)-like superfamily protein(CRR21)","CRR21"
"AT5G56600",0.31,0.0037,"profilin(PRF3)","PRF3"
"AT5G62430",0.31,0.0034,"cycling DOF factor 1(CDF1)","CDF1"
"AT5G65820",0.31,0.0033,"Pentatricopeptide repeat (PPR) superfamily protein(AT5G65820)","AT5G65820"
"AT5G67370",0.31,0.0032,"DUF1230 family protein (DUF1230)(CGLD27)","CGLD27"
"AT1G04520",0.3,0.0048,"plasmodesmata-located protein 2(PDLP2)","PDLP2"
"AT1G06430",0.3,0.005,"FTSH protease 8(FTSH8)","FTSH8"
"AT1G06680",0.3,0.0039,"photosystem II subunit P-1(PSBP-1)","PSBP-1"
"AT1G09820",0.3,0.0047,"Pentatricopeptide repeat (PPR-like) superfamily protein(AT1G09820)","AT1G09820"
"AT1G10740",0.3,0.0049,"alpha/beta-Hydrolases superfamily protein(AT1G10740)","AT1G10740"
"AT1G14100",0.3,0.0047,"fucosyltransferase 8(FUT8)","FUT8"
"AT1G17730",0.3,0.0049,"vacuolar protein sorting 46.1(VPS46.1)","VPS46.1"
"AT1G18660",0.3,0.0051,"zinc finger (C3HC4-type RING finger) family protein(AT1G18660)","AT1G18660"
"AT1G19715",0.3,0.004,"Mannose-binding lectin superfamily protein(AT1G19715)","AT1G19715"
"AT1G21410",0.3,0.0045,"F-box/RNI-like superfamily protein(SKP2A)","SKP2A"
"AT1G27030",0.3,0.0051,"hypothetical protein(AT1G27030)","AT1G27030"
"AT1G27340",0.3,0.0041,"Galactose oxidase/kelch repeat superfamily protein(LCR)","LCR"
"AT1G27370",0.3,0.0043,"squamosa promoter binding protein-like 10(SPL10)","SPL10"
"AT1G28560",0.3,0.0042,"snRNA activating complex family protein(SRD2)","SRD2"
"AT1G30120",0.3,0.0049,"pyruvate dehydrogenase E1 beta(PDH-E1 BETA)","PDH-E1 BETA"
"AT1G31800",0.3,0.0041,"cytochrome P450, family 97, subfamily A, polypeptide 3(CYP97A3)","CYP97A3"
"AT1G32520",0.3,0.0044,"TLDc domain protein(AT1G32520)","AT1G32520"
"AT1G42970",0.3,0.0043,"glyceraldehyde-3-phosphate dehydrogenase B subunit(GAPB)","GAPB"
"AT1G48030",0.3,0.004,"mitochondrial lipoamide dehydrogenase 1(mtLPD1)","mtLPD1"
"AT1G48450",0.3,0.0043,"alanine-tRNA ligase, putative (DUF760)(AT1G48450)","AT1G48450"
"AT1G50280",0.3,0.0043,"Phototropic-responsive NPH3 family protein(AT1G50280)","AT1G50280"
"AT1G53670",0.3,0.004,"methionine sulfoxide reductase B 1(MSRB1)","MSRB1"
"AT1G56580",0.3,0.0051,"plant/protein (Protein of unknown function, DUF538)(SVB)","SVB"
"AT1G64390",0.3,0.0048,"glycosyl hydrolase 9C2(GH9C2)","GH9C2"
"AT1G68660",0.3,0.0042,"Ribosomal protein L12/ ATP-dependent Clp protease adaptor protein ClpS family protein(AT1G68660)","AT1G68660"
"AT1G68910",0.3,0.004,"WPP domain-interacting protein 2(WIT2)","WIT2"
"AT1G74690",0.3,0.004,"IQ-domain 31(IQD31)","IQD31"
"AT1G75680",0.3,0.0041,"glycosyl hydrolase 9B7(GH9B7)","GH9B7"
"AT1G75690",0.3,0.0049,"DnaJ/Hsp40 cysteine-rich domain superfamily protein(LQY1)","LQY1"
"AT1G76890",0.3,0.0052,"Duplicated homeodomain-like superfamily protein(GT2)","GT2"
"AT2G04039",0.3,0.0039,"DUF2996 family protein(AT2G04039)","AT2G04039"
"AT2G18030",0.3,0.0047,"Peptide methionine sulfoxide reductase family protein(MSRA5)","MSRA5"
"AT2G19560",0.3,0.0045,"proteasome family protein(EER5)","EER5"
"AT2G22795",0.3,0.0046,"hypothetical protein(AT2G22795)","AT2G22795"
"AT2G22990",0.3,0.0044,"sinapoylglucose 1(SNG1)","SNG1"
"AT2G24790",0.3,0.004,"CONSTANS-like 3(COL3)","COL3"
"AT2G31790",0.3,0.0039,"UDP-Glycosyltransferase superfamily protein(AT2G31790)","AT2G31790"
"AT2G32170",0.3,0.0042,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT2G32170)","AT2G32170"
"AT2G33180",0.3,0.0043,"hypothetical protein(AT2G33180)","AT2G33180"
"AT2G33510",0.3,0.0044,"ATP-dependent RNA helicase(AT2G33510)","AT2G33510"
"AT2G33840",0.3,0.0043,"Tyrosyl-tRNA synthetase, class Ib, bacterial/mitochondrial(AT2G33840)","AT2G33840"
"AT2G34150",0.3,0.0045,"SCAR family protein(AT2G34150)","AT2G34150"
"AT2G34300",0.3,0.0052,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT2G34300)","AT2G34300"
"AT2G34460",0.3,0.0047,"NAD(P)-binding Rossmann-fold superfamily protein(AT2G34460)","AT2G34460"
"AT2G35387",0.3,0.0042,"ncRNA(AT2G35387)","AT2G35387"
"AT2G35660",0.3,0.0039,"FAD/NAD(P)-binding oxidoreductase family protein(CTF2A)","CTF2A"
"AT2G39850",0.3,0.0047,"Subtilisin-like serine endopeptidase family protein(AT2G39850)","AT2G39850"
"AT2G41342",0.3,0.0042,"hypothetical protein(AT2G41342)","AT2G41342"
"AT2G41650",0.3,0.004,"hypothetical protein(AT2G41650)","AT2G41650"
"AT2G43330",0.3,0.0043,"inositol transporter 1(INT1)","INT1"
"AT2G43340",0.3,0.0049,"hypothetical protein (DUF1685)(AT2G43340)","AT2G43340"
"AT2G46250",0.3,0.0052,"myosin heavy chain-like protein(AT2G46250)","AT2G46250"
"AT2G47370",0.3,0.0048,"Calcium-dependent phosphotriesterase superfamily protein(AT2G47370)","AT2G47370"
"AT3G01390",0.3,0.0044,"vacuolar membrane ATPase 10(VMA10)","VMA10"
"AT3G01810",0.3,0.005,"EEIG1/EHBP1 protein amino-terminal domain protein(AT3G01810)","AT3G01810"
"AT3G02290",0.3,0.0052,"RING/U-box superfamily protein(AT3G02290)","AT3G02290"
"AT3G14350",0.3,0.0052,"STRUBBELIG-receptor family 7(SRF7)","SRF7"
"AT3G15354",0.3,0.0042,"SPA1-related 3(SPA3)","SPA3"
"AT3G21870",0.3,0.0045,"cyclin p2;1(CYCP2;1)","CYCP2;1"
"AT3G24230",0.3,0.005,"Pectate lyase family protein(AT3G24230)","AT3G24230"
"AT3G27350",0.3,0.0041,"transcriptional regulator ATRX-like protein(AT3G27350)","AT3G27350"
"AT3G48420",0.3,0.0042,"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT3G48420)","AT3G48420"
